,name,id,number_tabaco_points,number_marihuana_points,number_vaper_points,number_tabaco_buyers,number_marihuana_buyers,number_vaper_buyers
0,"Plazoleta de ingenierías, pasillos de la Escuela de Ingeniería de sistemas y computación y pasillo frontal del auditorio numero 5",3,2,3,2,2.0,5.0,4.0
1,"Central, pasillos de central y banderas",6,2,1,2,3.0,4.0,2.0
