,zone_name,zone_id,Total_Active,Total_Passive,Pregnant_Women,Children,Passive_Active_Ratio
0,"Central, pasillos de central y banderas",6,2.0,20.0,3.0,3.0,10.0
1,"Plazoleta de ingenierías, pasillos de la Escuela de Ingeniería de sistemas y computación y pasillo frontal del auditorio numero 5",3,0.0,21.0,4.0,5.0,
