A blanco y negro,A primera vista en una fila,Adolescente,Adolescente (12-18 años),Adulto,Adulto (27-59 años),Adulto Mayor,Adulto Mayor (> 60 años),Afrodecendiente,Baños,Bebidas alcohólicas,Buen estado,Cafetería,Canecas para su recoleccion,Canecas para su recolección,Cigarrillo,"Cigarrillo (especificar en comentarios que tipo de cigarrillo es, ej: herbal o de otro tipo)",Cigarrillos,Compro en un lugar de venta,Con colores llamativos,Debajo de otros productos,Dulces (solidos),Empaquetados,Escritos a mano,Estado deteriorado,Expresión mixta/no definida,Frituras,Grande (mas de 1m),Hablando con otras personas,Hay elementos recolectores para el depósito de colillas  ¿cuántos?,Hay en el sitio mujeres embarazadas ¿cuántas?,Hombre,Impresos,Indeterminada,Indígena,Joven,Joven(14-26 años),Junto a los dulces,Lo dejan sobre una superficie,Lo depositan en canecas para la basura,Lo tiran al piso,Lo traía consigo,"Manipulando  un cuaderno, libro, hojas",Manipulando un celular,Manipulando un computador,Marihuana,Mediano (50cm-1m),Menudeo,Mesas,Mesas de estudio o encuentro,Mesas de reunión,Mestizos,Mujer,Ocultos,Pasillo,Pasto,Pequeño (1cm-50cm),Permanecen en el espacio sin hacer otro reclamo,Piso,Por Cajetillas,Por unidad,Proteína,Reclaman con agresión física,Reclaman con agresión verbal,Reclamo asertivo,Responde con agresión física,Responde con agresión verbal,Responde de forma asertiva,Se aleja de las personas que reclaman,Se alejan del fumador,Se lo ofreció un acompañante,Se observan fumadores activos alrededor de estos avisos. ¿Cuántos?,Sillas,Vapeador,Vapeadores,Visibles,Zona verde,agua,bebidas azucaradas,café,canchas,cigarrillos,jugo natural,oficina,salón,"¿A qué distancia aproximada, el observador percibe el humo?",¿A qué distancia el observador percibe el humo en espacios cerrados?,¿Ante el acto de fumar se observan fumadores pasivos que reclaman y rechazan  tal conducta?,"¿Ante el acto de fumar, se observan personas que reclaman y rechazan tal conducta? ¿Cuántas?",¿Cuantos avisos hay que advierten que fumar no está permitido en los espacios cerrados?,¿Cuantos avisos se observan en la zona de observación?,"¿Cuántas personas no
fumadoras hay en un radio de 2
metros alrededor de las personas
que están fumando?",¿Cuántos avisos hay que advierten que fumar está prohibido en los espacios abiertos?,¿De qué tamaño (altura) son los avisos que  advierten que fumar no está permitido?,¿De qué tamaño (altura) son los avisos que advierten que fumar está prohibido?,"¿Hay niños en el lugar que se está observando?, ¿cuántos?.",¿Número de personas aproximado que se observaron fumando en el periodo de dos horas?
3.0,2.0,8.0,2.0,5.0,3.0,6.0,2.0,2.0,5.0,4.0,5.0,10.0,3.0,3.0,2.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,1.0,4.0,1.0,3.0,2.0,2.0,3.0,4.0,1.0,3.0,2.0,1.0,6.0,2.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,9.0,5.0,1.0,5.0,9.0,6.0,1.0,1.0,2.0,10.0,7.0,3.0,2.0,6.0,1.0,2.0,3.0,1.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,4.0,2.0,5.0,3.0,4.0,2.0,16.0,9.0,7.0,8.0,1.0,0.0,5.0,2.0,4.0,0.0,0.0,2.0,2.0,2.0,3.0,2.0,3.0,0.0,0.0,5.0,0.0
2.0,3.0,6.0,5.0,8.0,4.0,6.0,3.0,4.0,4.0,2.0,5.0,6.0,3.0,3.0,2.0,5.0,3.0,7.0,1.0,4.0,4.0,1.0,1.0,5.0,1.0,4.0,2.0,5.0,3.0,3.0,3.0,2.0,4.0,5.0,8.0,4.0,2.0,4.0,3.0,3.0,6.0,5.0,5.0,3.0,11.0,2.0,3.0,7.0,5.0,7.0,3.0,1.0,1.0,15.0,7.0,1.0,3.0,5.0,2.0,2.0,5.0,3.0,3.0,4.0,4.0,5.0,4.0,4.0,4.0,8.0,2.0,9.0,6.0,2.0,2.0,8.0,8.0,6.0,7.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,4.0,5.0,2.0,1.0,4.0,3.0,0.0,0.0,3.0,2.0
