,visit_id,zone_name,zone_id,description,numeric_value
0,122,"Plazoleta de ingenierías, pasillos de la Escuela de Ingeniería de sistemas y computación y pasillo frontal del auditorio numero 5",3,Lo depositan en canecas para la basura,3
1,123,"Central, pasillos de central y banderas",6,Lo depositan en canecas para la basura,3
2,122,"Plazoleta de ingenierías, pasillos de la Escuela de Ingeniería de sistemas y computación y pasillo frontal del auditorio numero 5",3,Lo tiran al piso,2
3,123,"Central, pasillos de central y banderas",6,Lo tiran al piso,3
4,122,"Plazoleta de ingenierías, pasillos de la Escuela de Ingeniería de sistemas y computación y pasillo frontal del auditorio numero 5",3,Lo dejan sobre una superficie,2
5,123,"Central, pasillos de central y banderas",6,Lo dejan sobre una superficie,4
