id,code,question_type,description,parent_question_id,subcategory_id,is_required,position,input_type
86,R,matrix_parent,"¿Las personas que rechazan la conducta de fumar,  en qué curso de vida se encuentran?",,2,0,19.0,NUM
87,R.1,matrix_child,Adolescente,86.0,2,0,1.0,NUM
88,R.2,matrix_child,Joven,86.0,2,0,2.0,NUM
89,R.3,matrix_child,Adulto,86.0,2,0,3.0,NUM
90,R.4,matrix_child,Adulto Mayor,86.0,2,0,4.0,NUM
92,S,matrix_parent,"Los fumadores pasivos que están junto al fumador, ¿en qué curso de vida se encuentran?",,2,0,20.0,NUM
93,S.1,matrix_child,Adolescente,92.0,2,0,1.0,NUM
94,S.2,matrix_child,Joven,92.0,2,0,2.0,NUM
95,S.3,matrix_child,Adulto,92.0,2,0,3.0,NUM
96,S.4,matrix_child,Adulto Mayor,92.0,2,0,4.0,NUM
97,T,unique_response,Hay en el sitio mujeres embarazadas ¿cuántas?,,2,1,20.0,NUM
98,U,unique_response,"¿Hay niños en el lugar que se está observando?, ¿cuántos?.",,2,1,22.0,NUM
99,A,matrix_parent,¿Lugar dónde se encuentra ubicada la venta de Las siguientes sustancias?,,3,1,1.0,STR
100,A.1,matrix_child,cigarrillos,99.0,3,1,1.0,NUM
101,A.2,matrix_child,Marihuana,99.0,3,1,2.0,NUM
102,A.3,matrix_child,Vapeadores,99.0,3,1,3.0,NUM
103,B,matrix_parent,"¿Cuántos expendios de venta de cigarrillos, marihuana y vapeador hay en la zona de concurrencia destinada?",,3,1,2.0,NUM
104,B.1,matrix_child,Cigarrillo,103.0,3,1,1.0,NUM
105,B.2,matrix_child,Marihuana,103.0,3,1,2.0,NUM
106,B.3,matrix_child,Vapeador,103.0,3,1,3.0,NUM
107,C,matrix_parent,¿número de personas que compran por cada forma de venta en los expendios de venta?,,3,0,3.0,NUM
108,C.1,matrix_child,Por unidad,107.0,3,0,1.0,NUM
109,C.2,matrix_child,Menudeo,107.0,3,0,2.0,NUM
110,C.3,matrix_child,Por Cajetillas,107.0,3,0,3.0,NUM
111,D,matrix_parent,"¿Aproximadamente cuántas personas se observan comprando cigarrillos, marihuana, vapeadores?",,3,1,4.0,NUM
112,D.1,matrix_child,Cigarrillos,111.0,3,1,1.0,NUM
113,D.2,matrix_child,Marihuana,111.0,3,1,2.0,NUM
114,D.3,matrix_child,Vapeadores,111.0,3,1,3.0,NUM
116,E,matrix_parent,¿Dónde se ubican los cigarrillos en el puesto de venta?,,4,1,5.0,NUM
117,E.1,matrix_child,A primera vista en una fila,116.0,4,1,1.0,NUM
119,E.2,matrix_child,Debajo de otros productos,116.0,4,1,2.0,NUM
120,E.3,matrix_child,Junto a los dulces,116.0,4,1,3.0,NUM
121,F,matrix_parent,¿En la zona de observación cuantos avisos hay que invitan a fumar?,,4,1,6.0,NUM
122,F.1,matrix_child,Cafetería,121.0,4,1,1.0,NUM
123,F.2,matrix_child,Pasillo,121.0,4,1,2.0,NUM
124,F.3,matrix_child,Mesas de reunión,121.0,4,1,3.0,NUM
125,F.4,matrix_child,Zona verde,121.0,4,1,4.0,NUM
134,G,matrix_parent,Si hay presencia de avisos que invitan a fumar ¿cuáles son las características de estos?,,4,0,7.0,NUM
135,G.1,matrix_child,Visibles,134.0,4,0,1.0,NUM
136,G.2,matrix_child,Ocultos,134.0,4,0,3.0,NUM
137,G.3,matrix_child,Escritos a mano,134.0,4,0,3.0,NUM
138,G.4,matrix_child,Impresos,134.0,4,0,4.0,NUM
139,G.5,matrix_child,Con colores llamativos,134.0,4,0,5.0,NUM
140,G.6,matrix_child,A blanco y negro,134.0,4,0,5.0,NUM
141,H,unique_response,¿Cuantos avisos se observan en la zona de observación?,,4,1,8.0,NUM
142,I,matrix_parent,¿cuáles son las dimensiones aproximadas de los avisos?,,4,0,9.0,NUM
143,I.1,matrix_child,Pequeño (1cm-50cm),142.0,4,0,1.0,NUM
144,I.2,matrix_child,Mediano (50cm-1m),142.0,4,0,2.0,NUM
145,I.3,matrix_child,Grande (mas de 1m),142.0,4,0,3.0,NUM
146,J,unique_response,Se observan fumadores activos alrededor de estos avisos. ¿Cuántos?,,4,0,10.0,NUM
147,A,matrix_parent,¿En qué lugar están fumando?,,5,1,1.0,NUM
148,A.1,matrix_child,Cafetería,147.0,5,1,1.0,NUM
149,A.2,matrix_child,Zona verde,147.0,5,1,2.0,NUM
151,A.3,matrix_child,canchas,147.0,5,1,3.0,NUM
152,A.4,matrix_child,Baños,147.0,5,1,4.0,NUM
153,A.5,matrix_child,Mesas de estudio o encuentro,147.0,5,1,4.0,NUM
154,B,unique_response,"¿A qué distancia aproximada, el observador percibe el humo?",,5,0,2.0,STR
155,C,matrix_parent,¿En qué lugares se observan desechos de colillas de cigarrillos?,,5,0,3.0,NUM
156,C.1,matrix_child,Piso,155.0,5,0,1.0,NUM
157,C.2,matrix_child,Pasto,155.0,5,0,2.0,NUM
158,C.3,matrix_child,Mesas,155.0,5,0,3.0,NUM
159,C.4,matrix_child,Sillas,155.0,5,0,4.0,NUM
160,C.5,matrix_child,Canecas para su recolección,155.0,5,0,5.0,NUM
161,D,matrix_parent,¿En qué lugares se observan desechos de colillas de  marihuana?,,5,0,4.0,NUM
162,D.1,matrix_child,Piso,161.0,5,0,1.0,NUM
163,D.2,matrix_child,Pasto,161.0,5,0,2.0,NUM
164,D.3,matrix_child,Mesas,161.0,5,0,3.0,NUM
165,D.4,matrix_child,Sillas,161.0,5,0,4.0,NUM
166,D.5,matrix_child,Canecas para su recoleccion,161.0,5,0,5.0,NUM
167,E,unique_response,Hay elementos recolectores para el depósito de colillas  ¿cuántos?,,5,1,5.0,NUM
169,F,matrix_parent,¿En qué lugares se encuentran ubicados los avisos advirtiendo que fumar está prohibido?,,5,0,6.0,NUM
170,F.1,matrix_child,Cafetería,169.0,5,0,1.0,NUM
171,F.2,matrix_child,Pasillo,169.0,5,0,2.0,NUM
172,F.3,matrix_child,Mesas de reunión,169.0,5,0,3.0,NUM
173,F.4,matrix_child,Zona verde,169.0,5,0,4.0,NUM
174,G,matrix_parent,¿Estado de los avisos que advierten que fumar está prohibido?,,5,0,7.0,NUM
175,G.1,matrix_child,Buen estado,174.0,5,0,1.0,NUM
176,G.2,matrix_child,Estado deteriorado,174.0,5,0,2.0,NUM
177,H,unique_response,¿De qué tamaño (altura) son los avisos que advierten que fumar está prohibido?,,5,0,8.0,STR
178,I,unique_response,¿Cuántos avisos hay que advierten que fumar está prohibido en los espacios abiertos?,,5,1,9.0,NUM
179,A,matrix_parent,¿En qué lugar se fuma?,,6,1,1.0,NUM
180,A.1,matrix_child,Cafetería,179.0,6,1,1.0,NUM
181,A.2,matrix_child,Zona verde,179.0,6,1,2.0,NUM
182,A.3,matrix_child,Pasillo,179.0,6,1,3.0,NUM
183,A.4,matrix_child,Baños,179.0,6,1,4.0,NUM
184,A.5,matrix_child,Mesas de estudio o encuentro,179.0,6,1,5.0,NUM
185,B,unique_response,¿A qué distancia el observador percibe el humo en espacios cerrados?,,6,0,2.0,STR
186,C,unique_response,¿Cuantos avisos hay que advierten que fumar no está permitido en los espacios cerrados?,,6,1,3.0,NUM
187,D,matrix_parent,¿Estado de los avisos que  advierten que fumar no está permitido?,,6,0,4.0,NUM
188,D.1,matrix_child,Buen estado,187.0,6,0,1.0,NUM
189,D.2,matrix_child,Estado deteriorado,187.0,6,0,2.0,NUM
190,E,unique_response,¿De qué tamaño (altura) son los avisos que  advierten que fumar no está permitido?,,6,0,5.0,STR
191,F,matrix_parent,¿En qué lugares se encuentran ubicados los avisos advirtiendo que fumar está prohibido?,,6,1,6.0,NUM
192,F.1,matrix_child,Cafetería,191.0,6,1,1.0,NUM
193,F.2,matrix_child,Pasillo,191.0,6,1,2.0,NUM
194,F.3,matrix_child,Mesas de estudio o encuentro,191.0,6,1,3.0,NUM
195,F.4,matrix_child,Zona verde,191.0,6,1,4.0,NUM
196,II.4,matrix_child,café,68.0,1,0,4.0,NUM
197,II.5,matrix_child,agua,68.0,1,0,5.0,NUM
198,I.4,matrix_child,café,38.0,1,0,4.0,NUM
199,I.5,matrix_child,agua,38.0,1,0,5.0,NUM
200,III.4,matrix_child,café,73.0,1,0,4.0,NUM
201,III.5,matrix_child,agua,73.0,1,0,5.0,NUM
203,A.6,matrix_child,salón,179.0,6,1,6.0,NUM
204,A.7,matrix_child,oficina,179.0,6,1,7.0,NUM
